Symbol,Last Data Point,Status
RAYMOND.NS,2026-01-05,PASS
TRIDENT.NS,2026-01-05,PASS
WELSPUNLIV.NS,2026-01-05,PASS
VGUARD.NS,2026-01-05,PASS
SYMPHONY.NS,2026-01-05,PASS
BLUESTARCO.NS,2026-01-05,PASS
INTELLECT.NS,2026-01-05,PASS
TANLA.NS,2026-01-05,PASS
ROUTE.NS,2026-01-05,PASS
BIRLACORPN.NS,2026-01-05,PASS
STARCEMENT.NS,2026-01-05,PASS
JKLAKSHMI.NS,2026-01-05,PASS
CENTURYTEX.NS,N/A,FAIL
AEGISCHEM.NS,N/A,FAIL
MRPL.NS,2026-01-05,PASS
CHENNPETRO.NS,2026-01-05,PASS
CASTROLIND.NS,2026-01-05,PASS
OIL.NS,2026-01-05,PASS
GSPL.NS,2026-01-05,PASS
MGL.NS,2026-01-05,PASS
IGL.NS,2026-01-05,PASS
GUJGASLTD.NS,2026-01-05,PASS
KA-NS,N/A,FAIL
CUB.NS,2026-01-05,PASS
KARURVYSYA.NS,2026-01-05,PASS
RBLBANK.NS,2026-01-05,PASS
J&KBANK.NS,2026-01-05,PASS
SOUTHBANK.NS,2026-01-05,PASS
UCOBANK.NS,2026-01-05,PASS
IOB.NS,2026-01-05,PASS
CENTRALBK.NS,2026-01-05,PASS
PSB.NS,2026-01-05,PASS
AAPL,2026-01-05,PASS
MSFT,2026-01-05,PASS
NVDA,2026-01-05,PASS
GOOGL,2026-01-05,PASS
AMZN,2026-01-05,PASS
META,2026-01-05,PASS
TSLA,2026-01-05,PASS
AVGO,2026-01-05,PASS
ORCL,2026-01-05,PASS
ADBE,2026-01-05,PASS
AMD,2026-01-05,PASS
CRM,2026-01-05,PASS
NFLX,2026-01-05,PASS
INTC,2026-01-05,PASS
QCOM,2026-01-05,PASS
TXN,2026-01-05,PASS
IBM,2026-01-05,PASS
CSCO,2026-01-05,PASS
NOW,2026-01-05,PASS
UBER,2026-01-05,PASS
PANW,2026-01-05,PASS
SNOW,2026-01-05,PASS
PLTR,2026-01-05,PASS
SQ,N/A,FAIL
SHOP,2026-01-05,PASS
JPM,2026-01-05,PASS
V,2026-01-05,PASS
MA,2026-01-05,PASS
BAC,2026-01-05,PASS
WFC,2026-01-05,PASS
MS,2026-01-05,PASS
GS,2026-01-05,PASS
BLK,2026-01-05,PASS
C,2026-01-05,PASS
AXP,2026-01-05,PASS
PYPL,2026-01-05,PASS
COIN,2026-01-05,PASS
BRK-B,2026-01-05,PASS
LLY,2026-01-05,PASS
JNJ,2026-01-05,PASS
UNH,2026-01-05,PASS
MRK,2026-01-05,PASS
ABBV,2026-01-05,PASS
PFE,2026-01-05,PASS
TMO,2026-01-05,PASS
ABT,2026-01-05,PASS
AMGN,2026-01-05,PASS
DHR,2026-01-05,PASS
CVS,2026-01-05,PASS
GILD,2026-01-05,PASS
ISRG,2026-01-05,PASS
WMT,2026-01-05,PASS
PG,2026-01-05,PASS
KO,2026-01-05,PASS
COST,2026-01-05,PASS
PEP,2026-01-05,PASS
MCD,2026-01-05,PASS
HD,2026-01-05,PASS
NKE,2026-01-05,PASS
SBUX,2026-01-05,PASS
DIS,2026-01-05,PASS
TGT,2026-01-05,PASS
LOW,2026-01-05,PASS
BKNG,2026-01-05,PASS
ABNB,2026-01-05,PASS
XOM,2026-01-05,PASS
CVX,2026-01-05,PASS
GE,2026-01-05,PASS
CAT,2026-01-05,PASS
BA,2026-01-05,PASS
UNP,2026-01-05,PASS
HON,2026-01-05,PASS
UPS,2026-01-05,PASS
LMT,2026-01-05,PASS
DE,2026-01-05,PASS
RTX,2026-01-05,PASS
MMM,2026-01-05,PASS
SLB,2026-01-05,PASS
COP,2026-01-05,PASS
TMUS,2026-01-05,PASS
VZ,2026-01-05,PASS
T,2026-01-05,PASS
CMCSA,2026-01-05,PASS
PLD,2026-01-05,PASS
AMT,2026-01-05,PASS
NEE,2026-01-05,PASS
DUK,2026-01-05,PASS
SO,2026-01-05,PASS
ARM,2026-01-05,PASS
MU,2026-01-05,PASS
LRCX,2026-01-05,PASS
KLAC,2026-01-05,PASS
AMAT,2026-01-05,PASS
ADI,2026-01-05,PASS
NXPI,2026-01-05,PASS
MRVL,2026-01-05,PASS
MSTR,2026-01-05,PASS
RBLX,2026-01-05,PASS
U,2026-01-05,PASS
HOOD,2026-01-05,PASS
DKNG,2026-01-05,PASS
DASH,2026-01-05,PASS
NET,2026-01-05,PASS
ZS,2026-01-05,PASS
CRWD,2026-01-05,PASS
DDOG,2026-01-05,PASS
TTD,2026-01-05,PASS
MDB,2026-01-05,PASS
TEAM,2026-01-05,PASS
HUBS,2026-01-05,PASS
OKTA,2026-01-05,PASS
TWLO,2026-01-05,PASS
DOCU,2026-01-05,PASS
PATH,2026-01-05,PASS
GTLB,2026-01-05,PASS
HCP,N/A,FAIL
CFLT,2026-01-05,PASS
IOT,2026-01-05,PASS
AI,2026-01-05,PASS
IONQ,2026-01-05,PASS
RGTI,2026-01-05,PASS
QUBT,2026-01-05,PASS
WOLF,2026-01-05,PASS
ON,2026-01-05,PASS
STM,2026-01-05,PASS
MCHP,2026-01-05,PASS
SWKS,2026-01-05,PASS
QRVO,2026-01-05,PASS
TER,2026-01-05,PASS
ENTG,2026-01-05,PASS
MPWR,2026-01-05,PASS
LSCC,2026-01-05,PASS
RMBS,2026-01-05,PASS
DIOD,2026-01-05,PASS
SLAB,2026-01-05,PASS
SMTC,2026-01-05,PASS
POWI,2026-01-05,PASS
CRUS,2026-01-05,PASS
MTSI,2026-01-05,PASS
MXL,2026-01-05,PASS
AOS,2026-01-05,PASS
VECO,2026-01-05,PASS
ACLS,2026-01-05,PASS
COHR,2026-01-05,PASS
LITE,2026-01-05,PASS
IPGP,2026-01-05,PASS
MKSI,2026-01-05,PASS
NOV,2026-01-05,PASS
HAL,2026-01-05,PASS
BKR,2026-01-05,PASS
MPC,2026-01-05,PASS
PSX,2026-01-05,PASS
VLO,2026-01-05,PASS
EOG,2026-01-05,PASS
PXD,N/A,FAIL
OXY,2026-01-05,PASS
DVN,2026-01-05,PASS
HES,N/A,FAIL
FANG,2026-01-05,PASS
CTRA,2026-01-05,PASS
MRO,N/A,FAIL
APA,2026-01-05,PASS
EQT,2026-01-05,PASS
OVV,2026-01-05,PASS
CHK,N/A,FAIL
SWN,N/A,FAIL
RRC,2026-01-05,PASS
AR,2026-01-05,PASS
MTDR,2026-01-05,PASS
PDCE,N/A,FAIL
MUR,2026-01-05,PASS
SM,2026-01-05,PASS
CPE,N/A,FAIL
MGY,2026-01-05,PASS
CIVI,2026-01-05,PASS
ESTE,N/A,FAIL
VTLE,2025-12-12,PASS
CRK,2026-01-05,PASS
CNX,2026-01-05,PASS
GPOR,2026-01-05,PASS
WLL,N/A,FAIL
OAS,N/A,FAIL
CDEV,N/A,FAIL
LPI,N/A,FAIL
TALO,2026-01-05,PASS
REPX,2026-01-05,PASS
SBOW,N/A,FAIL
ROCC,N/A,FAIL
BATL,2026-01-05,PASS
AMPY,2026-01-05,PASS
BRY,2025-12-26,PASS
EGY,2026-01-05,PASS
KOS,2026-01-05,PASS
WTI,2026-01-05,PASS
SMCI,2026-01-05,PASS
